pair,condition,mean,sem,ratio,ratio_sem,verdict
c|jax,solref_scale=2.0,0.04447335493658304,0.011446391754634756,13.26093759464203,4.540967108399778,WIDENS gap
c|jax,friction_scale=0.5,0.005494700302114931,0.0015158126924798374,1.638393998193048,0.5841516214284261,null (within 2 sigma of 1)
c|jax,timestep=0.004,0.005025290135594869,0.0011928024159799312,1.4984266192222153,0.4909644052300157,null (within 2 sigma of 1)
c|jax,solref_scale=0.5,0.0045528241330079645,0.000978849879380547,1.3575480598054812,0.42333141513038924,null (within 2 sigma of 1)
c|jax,armature_scale=0.5,0.004170222089228041,0.001402704056043443,1.2434648782379365,0.5038048203704666,null (within 2 sigma of 1)
c|jax,iterations=10,0.003739439328400014,0.0010751174063867927,1.1150153084599437,0.407671305322167,null (within 2 sigma of 1)
c|jax,iterations=50,0.003739439328400014,0.0010751174063867927,1.1150153084599437,0.407671305322167,null (within 2 sigma of 1)
c|jax,iterations=100,0.003739439328400014,0.0010751174063867927,1.1150153084599437,0.407671305322167,null (within 2 sigma of 1)
c|jax,ls_iterations=20,0.00335646677972528,0.0008136534121700961,1.0008216508040624,0.3316049025017687,null (within 2 sigma of 1)
c|jax,baseline,0.003353711200221025,0.0007575004601526082,1.0,0.3194274522448675,(reference)
c|jax,cone=1,0.003237827965425257,0.0009381702459945253,0.9654462689607468,0.35469309205757893,null (within 2 sigma of 1)
c|jax,timestep=0.001,0.0031989955239088083,0.0008194157441091884,0.9538673227730461,0.32575463800791,null (within 2 sigma of 1)
c|jax,friction_scale=2.0,0.0021741514711038712,0.0005035109667003303,0.6482822584605927,0.20971776971111425,null (within 2 sigma of 1)
c|jax,armature_scale=2.0,0.0021103700835672498,0.0004406924217514407,0.6292641070072362,0.19356773427278762,null (within 2 sigma of 1)
c|warp,solref_scale=0.5,0.002131777908708997,0.0003115799007716732,5.173759287121209,1.3177697836887812,WIDENS gap
c|warp,solref_scale=2.0,0.0015748319380152812,0.0008105986368798668,3.8220685802565404,2.1227047065108633,null (within 2 sigma of 1)
c|warp,timestep=0.004,0.0011061627923891625,0.0002945683016068657,2.6846230073081183,0.9081214013969378,null (within 2 sigma of 1)
c|warp,friction_scale=0.5,0.001091090137143683,0.0003615073345233547,2.6480421375377294,1.0367623140977666,null (within 2 sigma of 1)
c|warp,armature_scale=0.5,0.0010633916699809393,0.0003665169103221423,2.5808188113475015,1.039742291492822,null (within 2 sigma of 1)
c|warp,baseline,0.00041203654642679835,8.594766039548084e-05,1.0,0.2949940922464265,(reference)
c|warp,cone=1,0.00036516777486540893,6.725088997275774e-05,0.8862509358263538,0.24660602207950283,null (within 2 sigma of 1)
c|warp,iterations=100,0.0003469999324913839,8.752916175198776e-05,0.8421581422827289,0.2756553999192207,null (within 2 sigma of 1)
c|warp,iterations=10,0.00032114388200848445,8.226662953002537e-05,0.7794063045947267,0.257478558915321,null (within 2 sigma of 1)
c|warp,ls_iterations=20,0.0003072809923569895,8.237128967077482e-05,0.7457614986382779,0.2533061235868808,null (within 2 sigma of 1)
c|warp,iterations=50,0.0002972133017397656,8.410957999185126e-05,0.7213275237772336,0.2535918796457102,null (within 2 sigma of 1)
c|warp,timestep=0.001,0.0002498117589211913,7.226896944174752e-05,0.6062854401813903,0.21623372757323753,null (within 2 sigma of 1)
c|warp,friction_scale=2.0,0.00021519262003365887,5.621706988798594e-05,0.5222658569969584,0.17459423260887763,narrows gap
c|warp,armature_scale=2.0,0.00019206259514694513,4.261296442804941e-05,0.4661299994200068,0.14194951059939642,narrows gap
jax|warp,solref_scale=2.0,0.04331354007892397,0.011551094387384348,12.797170754227118,4.583812133242256,WIDENS gap
jax|warp,timestep=0.004,0.005409530417732736,0.0012624017434174888,1.5982689092087519,0.5340187923385177,null (within 2 sigma of 1)
jax|warp,friction_scale=0.5,0.005294727740416516,0.001440151442446096,1.5643499669569507,0.5665475476159454,null (within 2 sigma of 1)
jax|warp,armature_scale=0.5,0.004872007245938731,0.0014235190476595595,1.4394553880496077,0.5434770724701262,null (within 2 sigma of 1)
jax|warp,solref_scale=0.5,0.004871495073710231,0.0010182402820349016,1.4393040645731208,0.4571188374692084,null (within 2 sigma of 1)
jax|warp,iterations=100,0.00381881789473464,0.0010662389261158636,1.1282860876568503,0.4147657524690515,null (within 2 sigma of 1)
jax|warp,iterations=10,0.003802657868221028,0.0010741121609859042,1.1235115386749221,0.4157967116911182,null (within 2 sigma of 1)
jax|warp,iterations=50,0.0037925460436683974,0.0010762814966548092,1.1205239568425203,0.41582542398478917,null (within 2 sigma of 1)
jax|warp,ls_iterations=20,0.0033925607122522366,0.000816863593200857,1.0023465791451143,0.34013970932520343,null (within 2 sigma of 1)
jax|warp,baseline,0.0033846184372133027,0.0008093311515447277,1.0,0.33816724460910236,(reference)
jax|warp,cone=1,0.0032419064889419153,0.0009608706143564152,0.9578351442211938,0.3647653689241276,null (within 2 sigma of 1)
jax|warp,timestep=0.001,0.0031469610630682114,0.0008314627113450179,0.9297831118769286,0.3313293045925578,null (within 2 sigma of 1)
jax|warp,armature_scale=2.0,0.0020953869564373593,0.0004474859034356787,0.6190910424049391,0.19848160230731687,null (within 2 sigma of 1)
jax|warp,friction_scale=2.0,0.0020922524424155917,0.0004895919334391059,0.6181649368246751,0.20681809902169412,null (within 2 sigma of 1)
