robot,condition,n,ratio,ci_low,ci_high,p,median_num,median_den,significant
G1,baseline,10,7.963372271735497,3.8776558897604727,19.245868155450204,0.0001,0.002429221697812661,0.00030686824594918936,True
G1,iterations=10,10,10.693737264379866,3.7384364578876204,38.04153233485492,0.0001,0.002113299163266304,0.0002202919781975792,True
G1,iterations=50,10,15.766522930788275,3.900031429214069,46.81482495601905,0.0001,0.002113299163266304,0.00014032213331770075,True
G1,iterations=100,10,10.225354939682797,3.5609058590173595,40.81659366898724,0.0001,0.002113299163266304,0.00022050759297360158,True
G1,ls_iterations=20,10,9.813013353578135,4.685068004362195,28.37930488535415,0.0001,0.0022503981207817837,0.00025020949540274155,True
G1,cone=1,10,6.939715298971229,3.043559996367016,18.37105532028817,0.0003,0.0020555759767145075,0.00031923066368962186,True
G1,timestep=0.001,10,14.515753798414282,4.748745436601715,36.57684833570374,5e-05,0.0025488968280649982,0.00016467038214590412,True
G1,timestep=0.004,10,4.449056416271293,1.6860944349224198,16.23485451133347,0.0028,0.0038561224684926076,0.0009336174640653481,True
G1,friction_scale=0.5,10,5.134417100696113,1.3968492054406185,15.005718002369973,0.0129,0.004472973081672592,0.0008595753010128374,True
G1,friction_scale=2.0,10,13.663405557574805,3.387695198539046,27.683764845453304,0.0106,0.0022847418058157118,0.00016327671325770557,True
G1,solref_scale=0.5,10,2.104390100234841,0.8848280488153718,4.104803311653244,0.0939,0.003910854998635275,0.0018584268183921035,False
G1,solref_scale=2.0,10,82.67328027027855,13.16710026769806,237.87491081343006,5e-05,0.03586943541472244,0.0004298011509055381,True
G1,armature_scale=0.5,10,4.537411940923481,1.4406506459161255,14.333538067189446,0.0207,0.0031256898884322475,0.0006254028588881344,True
G1,armature_scale=2.0,10,15.369470528521212,3.6332083567462847,32.94070749868353,0.0002,0.0024148795869331583,0.00014722875813514874,True
Berkeley,baseline,30,2.9066962753439656,1.5774682452573316,4.51220785293317,0.0014,0.0061038909220797796,0.0020415871726048246,True
Berkeley,iterations=10,30,2.8932723095493964,1.8462671825596535,5.32990911339572,5e-05,0.0056618632222865785,0.0020713363310563065,True
Berkeley,iterations=50,30,2.621839277673661,1.7300439507601324,5.009437337113237,5e-05,0.0056618632222865785,0.002229116570451591,True
Berkeley,iterations=100,30,2.519044459884475,1.6545915459530673,4.589178811991709,5e-05,0.0056618632222865785,0.0023061897058837977,True
Berkeley,ls_iterations=20,30,3.0808435510590035,1.7166760774575411,4.832267291176876,5e-05,0.006535259951104197,0.002009884942167985,True
Berkeley,cone=1,30,9.934341007642495,7.299514450918726,17.166242799285904,5e-05,0.004835782458699222,0.0004995308037255156,True
Berkeley,timestep=0.001,30,2.7141422970165574,1.5763442513241794,4.914595538722931,5e-05,0.0047514127786246075,0.0018243653271295536,True
Berkeley,timestep=0.004,30,3.4728590580709207,1.5322879019696665,6.928115769377733,0.0017,0.007056102968482963,0.0019203370525270726,True
Berkeley,friction_scale=0.5,30,1.9689389197274578,1.3019573554993007,3.3227993885039737,0.0022,0.010356925028957367,0.005335373606543353,True
Berkeley,friction_scale=2.0,30,27.281074948019597,15.298837503249219,51.78996061062318,5e-05,0.004187084910183095,0.0001561325449592644,True
Berkeley,solref_scale=0.5,30,1.2261823247054942,0.42034742817286586,3.5613256076021553,0.8787,0.006902019369244226,0.00574977851781538,False
Berkeley,solref_scale=2.0,30,19.32484313445503,8.281126731045505,31.28447678127492,5e-05,0.027632102553841596,0.001396141958706194,True
Berkeley,armature_scale=0.5,30,3.1362015506882432,1.800049368427492,5.732909164741296,5e-05,0.006047646411262208,0.0017943448115668114,True
Berkeley,armature_scale=2.0,30,5.1192357816739165,3.1420019633783185,8.132891494510615,5e-05,0.006245027412206429,0.00127181004697178,True
T1,baseline,30,1.2650137800165102,0.6373961552109224,2.8577373512373034,0.5918,0.00018220798918594362,0.0001428309770415175,False
T1,iterations=10,30,3.2660619460621554,1.8240563377576446,6.715993580225598,5e-05,0.0001401929964281503,4.3991136158374193e-05,True
T1,iterations=50,30,3.2660619460621554,1.8240563377576446,6.727108538105382,5e-05,0.0001401929964281503,4.408484156115696e-05,True
T1,iterations=100,30,3.2660619460621554,1.8240563377576446,6.714983422766621,5e-05,0.0001401929964281503,4.408484156115696e-05,True
T1,ls_iterations=20,30,1.907506500063605,0.6085968793286617,4.771471042808561,0.3681,0.0001684633985728448,9.196507792822689e-05,False
T1,cone=1,30,3.120084862689241,1.251064889443858,7.763821124732388,0.008,0.00024815414955399776,7.932566725369505e-05,True
T1,timestep=0.001,30,5.836215446713893,2.893937921306843,8.815675067808002,5e-05,0.0002684901131300585,4.716664046621357e-05,True
T1,timestep=0.004,30,0.6254765182744847,0.18110824376446064,1.534233842083248,0.3032,0.0001826838124434373,0.0002714602042984769,False
T1,friction_scale=0.5,30,0.958471607570472,0.5568329255722798,1.453105811435993,0.8438,0.0013257538645976034,0.0013273923086235873,False
T1,friction_scale=2.0,30,5.510961472664624,3.5420332447229077,7.754927988950083,5e-05,0.0002869307937036817,5.132097972280609e-05,True
T1,solref_scale=0.5,30,1.4287819658833358,0.5522793442326352,3.793121127007131,0.533,0.0018823985086609308,0.0012451832450408962,False
T1,solref_scale=2.0,30,1.9298848273786178,0.6651516824022782,4.741598742943454,0.2507,7.074101292757622e-05,3.797413958215645e-05,False
T1,armature_scale=0.5,30,1.2302596585925731,0.7791167291229432,2.8269155138095496,0.4638,0.0002976905817154409,0.0002559599410988214,False
T1,armature_scale=2.0,30,1.2816184426871406,0.7702387278216731,2.954539040040079,0.4234,0.00010823222868792736,8.844072693565128e-05,False
Op3,baseline,30,1.078482635518352,0.4900348278571258,2.602261094503451,0.8102,0.0001339143858275618,0.00012624789070441172,False
Op3,iterations=10,30,2.1334396104534177,0.9222636877425711,15.427190343917257,0.0805,4.310217209530823e-06,2.2073288520114926e-06,False
